year,grade,stu_count,stu_ranking
2015,703,1,1
2015,701,1,2
2015,699,1,3
2015,698,2,5
2015,696,1,6
2015,695,2,8
2015,694,2,10
2015,693,5,15
2015,692,3,18
2015,691,1,19
2015,690,2,21
2015,689,1,22
2015,688,3,25
2015,687,7,32
2015,686,5,37
2015,685,5,42
2015,684,9,51
2015,683,9,60
2015,682,9,69
2015,681,8,77
2015,680,9,86
2015,679,13,99
2015,678,13,112
2015,677,12,124
2015,676,17,141
2015,675,18,159
2015,674,9,168
2015,673,17,185
2015,672,28,213
2015,671,19,232
2015,670,35,267
2015,669,30,297
2015,668,29,326
2015,667,27,353
2015,666,23,376
2015,665,30,406
2015,664,37,443
2015,663,39,482
2015,662,47,529
2015,661,40,569
2015,660,33,602
2015,659,54,656
2015,658,38,694
2015,657,51,745
2015,656,62,807
2015,655,56,863
2015,654,57,920
2015,653,57,977
2015,652,76,1053
2015,651,68,1121
2015,650,68,1189
2015,649,73,1262
2015,648,71,1333
2015,647,87,1420
2015,646,72,1492
2015,645,108,1600
2015,644,85,1685
2015,643,102,1787
2015,642,99,1886
2015,641,79,1965
2015,640,125,2090
2015,639,122,2212
2015,638,112,2324
2015,637,121,2445
2015,636,110,2555
2015,635,124,2679
2015,634,136,2815
2015,633,121,2936
2015,632,122,3058
2015,631,136,3194
2015,630,147,3341
2015,629,149,3490
2015,628,147,3637
2015,627,153,3790
2015,626,154,3944
2015,625,157,4101
2015,624,180,4281
2015,623,146,4427
2015,622,158,4585
2015,621,170,4755
2015,620,189,4944
2015,619,172,5116
2015,618,211,5327
2015,617,182,5509
2015,616,197,5706
2015,615,218,5924
2015,614,213,6137
2015,613,225,6362
2015,612,208,6570
2015,611,222,6792
2015,610,218,7010
2015,609,226,7236
2015,608,226,7462
2015,607,247,7709
2015,606,249,7958
2015,605,233,8191
2015,604,247,8438
2015,603,271,8709
2015,602,265,8974
2015,601,256,9230
2015,600,288,9518
2015,599,279,9797
2015,598,271,10068
2015,597,296,10364
2015,596,283,10647
2015,595,297,10944
2015,594,238,11182
2015,593,295,11477
2015,592,299,11776
2015,591,289,12065
2015,590,281,12346
2015,589,293,12639
2015,588,303,12942
2015,587,342,13284
2015,586,321,13605
2015,585,297,13902
2015,584,300,14202
2015,583,302,14504
2015,582,294,14798
2015,581,328,15126
2015,580,311,15437
2015,579,326,15763
2015,578,337,16100
2015,577,314,16414
2015,576,327,16741
2015,575,319,17060
2015,574,375,17435
2015,573,338,17773
2015,572,367,18140
2015,571,358,18498
2015,570,362,18860
2015,569,361,19221
2015,568,380,19601
2015,567,377,19978
2015,566,369,20347
2015,565,351,20698
2015,564,337,21035
2015,563,348,21383
2015,562,330,21713
2015,561,388,22101
2015,560,382,22483
2015,559,384,22867
2015,558,398,23265
2015,557,387,23652
2015,556,351,24003
2015,555,413,24416
2015,554,401,24817
2015,553,398,25215
2015,552,386,25601
2015,551,384,25985
2015,550,355,26340
2015,549,386,26726
2015,548,418,27144
2015,547,338,27482
2015,546,357,27839
2015,545,392,28231
2015,544,412,28643
2015,543,404,29047
2015,542,393,29440
2015,541,377,29817
2015,540,391,30208
2015,539,394,30602
2015,538,397,30999
2015,537,404,31403
2015,536,396,31799
2015,535,397,32196
2015,534,424,32620
2015,533,374,32994
2015,532,391,33385
2015,531,396,33781
2015,530,403,34184
2015,529,411,34595
2015,528,405,35000
2015,527,402,35402
2015,526,425,35827
2015,525,411,36238
2015,524,412,36650
2015,523,426,37076
2015,522,427,37503
2015,521,412,37915
2015,520,388,38303
2015,519,409,38712
2015,518,428,39140
2015,517,387,39527
2015,516,387,39914
2015,515,424,40338
2015,514,422,40760
2015,513,393,41153
2015,512,430,41583
2015,511,431,42014
2014,700,1,1
2014,698,1,2
2014,692,2,4
2014,690,2,6
2014,689,2,8
2014,688,2,10
2014,687,1,11
2014,686,1,12
2014,685,1,13
2014,684,2,15
2014,683,5,20
2014,682,1,21
2014,681,9,30
2014,680,7,37
2014,679,6,43
2014,678,6,49
2014,677,5,54
2014,676,11,65
2014,675,4,69
2014,674,7,76
2014,673,10,86
2014,672,5,91
2014,671,13,104
2014,670,8,112
2014,669,12,124
2014,668,12,136
2014,667,9,145
2014,666,12,157
2014,665,14,171
2014,664,16,187
2014,663,17,204
2014,662,18,222
2014,661,27,249
2014,660,17,266
2014,659,25,291
2014,658,22,313
2014,657,25,338
2014,656,34,372
2014,655,34,406
2014,654,28,434
2014,653,38,472
2014,652,36,508
2014,651,28,536
2014,650,39,575
2014,649,50,625
2014,648,48,673
2014,647,46,719
2014,646,45,764
2014,645,60,824
2014,644,49,873
2014,643,46,919
2014,642,66,985
2014,641,62,1047
2014,640,71,1118
2014,639,79,1197
2014,638,69,1266
2014,637,73,1339
2014,636,78,1417
2014,635,76,1493
2014,634,73,1566
2014,633,96,1662
2014,632,73,1735
2014,631,92,1827
2014,630,111,1938
2014,629,100,2038
2014,628,98,2136
2014,627,104,2240
2014,626,102,2342
2014,625,108,2450
2014,624,109,2559
2014,623,134,2693
2014,622,118,2811
2014,621,103,2914
2014,620,120,3034
2014,619,129,3163
2014,618,140,3303
2014,617,131,3434
2014,616,138,3572
2014,615,134,3706
2014,614,142,3848
2014,613,155,4003
2014,612,144,4147
2014,611,140,4287
2014,610,152,4439
2014,609,162,4601
2014,608,174,4775
2014,607,184,4959
2014,606,165,5124
2014,605,199,5323
2014,604,181,5504
2014,603,185,5689
2014,602,178,5867
2014,601,226,6093
2014,600,212,6305
2014,599,191,6496
2014,598,201,6697
2014,597,234,6931
2014,596,214,7145
2014,595,224,7369
2014,594,212,7581
2014,593,230,7811
2014,592,231,8042
2014,591,213,8255
2014,590,237,8492
2014,589,253,8745
2014,588,214,8959
2014,587,210,9169
2014,586,237,9406
2014,585,255,9661
2014,584,252,9913
2014,583,241,10154
2014,582,247,10401
2014,581,271,10672
2014,580,272,10944
2014,579,262,11206
2014,578,296,11502
2014,577,271,11773
2014,576,301,12074
2014,575,278,12352
2014,574,297,12649
2014,573,293,12942
2014,572,319,13261
2014,571,304,13565
2014,570,309,13874
2014,569,284,14158
2014,568,296,14454
2014,567,312,14766
2014,566,320,15086
2014,565,327,15413
2014,564,266,15679
2014,563,293,15972
2014,562,326,16298
2014,561,323,16621
2014,560,340,16961
2014,559,292,17253
2014,558,353,17606
2014,557,354,17960
2014,556,331,18291
2014,555,329,18620
2014,554,306,18926
2014,553,343,19269
2014,552,370,19639
2014,551,366,20005
2014,550,349,20354
2014,549,369,20723
2014,548,363,21086
2014,547,347,21433
2014,546,390,21823
2014,545,367,22190
2014,544,355,22545
2014,543,385,22930
2014,542,381,23311
2014,541,378,23689
2014,540,337,24026
2014,539,390,24416
2014,538,365,24781
2014,537,388,25169
2014,536,383,25552
2014,535,370,25922
2014,534,401,26323
2014,533,403,26726
2014,532,404,27130
2014,531,397,27527
2014,530,412,27939
2014,529,403,28342
2014,528,381,28723
2014,527,415,29138
2014,526,401,29539
2014,525,400,29939
2014,524,414,30353
2014,523,398,30751
2014,522,409,31160
2014,521,414,31574
2014,520,413,31987
2014,519,440,32427
2014,518,442,32869
2014,517,417,33286
2014,516,419,33705
2014,515,410,34115
2014,514,461,34576
2014,513,411,34987
2014,512,415,35402
2014,511,383,35785
2014,510,430,36215
2014,509,403,36618
2014,508,438,37056
2014,507,427,37483
2014,506,459,37942
2014,505,413,38355
2014,504,419,38774
2013,701,1,1
2013,699,1,2
2013,698,1,3
2013,686,1,4
2013,685,1,5
2013,683,3,8
2013,682,1,9
2013,681,1,10
2013,678,2,12
2013,677,2,14
2013,676,1,15
2013,675,3,18
2013,674,2,20
2013,673,3,23
2013,672,2,25
2013,671,3,28
2013,670,4,32
2013,669,6,38
2013,668,3,41
2013,667,6,47
2013,666,5,52
2013,665,6,58
2013,664,3,61
2013,663,6,67
2013,662,9,76
2013,661,6,82
2013,660,4,86
2013,659,9,95
2013,658,9,104
2013,657,10,114
2013,656,10,124
2013,655,19,143
2013,654,16,159
2013,653,16,175
2013,652,18,193
2013,651,14,207
2013,650,24,231
2013,649,21,252
2013,648,15,267
2013,647,22,289
2013,646,30,319
2013,645,22,341
2013,644,24,365
2013,643,41,406
2013,642,35,441
2013,641,31,472
2013,640,37,509
2013,639,30,539
2013,638,40,579
2013,637,34,613
2013,636,29,642
2013,635,30,672
2013,634,31,703
2013,633,36,739
2013,632,40,779
2013,631,67,846
2013,630,60,906
2013,629,58,964
2013,628,59,1023
2013,627,53,1076
2013,626,58,1134
2013,625,77,1211
2013,624,57,1268
2013,623,60,1328
2013,622,70,1398
2013,621,68,1466
2013,620,71,1537
2013,619,87,1624
2013,618,86,1710
2013,617,83,1793
2013,616,78,1871
2013,615,102,1973
2013,614,89,2062
2013,613,100,2162
2013,612,103,2265
2013,611,83,2348
2013,610,101,2449
2013,609,113,2562
2013,608,126,2688
2013,607,113,2801
2013,606,134,2935
2013,605,140,3075
2013,604,137,3212
2013,603,154,3366
2013,602,129,3495
2013,601,130,3625
2013,600,155,3780
2013,599,147,3927
2013,598,141,4068
2013,597,162,4230
2013,596,173,4403
2013,595,154,4557
2013,594,174,4731
2013,593,213,4944
2013,592,191,5135
2013,591,183,5318
2013,590,162,5480
2013,589,183,5663
2013,588,190,5853
2013,587,168,6021
2013,586,186,6207
2013,585,195,6402
2013,584,204,6606
2013,583,203,6809
2013,582,215,7024
2013,581,224,7248
2013,580,211,7459
2013,579,221,7680
2013,578,252,7932
2013,577,217,8149
2013,576,233,8382
2013,575,249,8631
2013,574,226,8857
2013,573,225,9082
2013,572,282,9364
2013,571,268,9632
2013,570,263,9895
2013,569,260,10155
2013,568,287,10442
2013,567,254,10696
2013,566,273,10969
2013,565,293,11262
2013,564,267,11529
2013,563,268,11797
2013,562,315,12112
2013,561,320,12432
2013,560,293,12725
2013,559,308,13033
2013,558,329,13362
2013,557,305,13667
2013,556,339,14006
2013,555,316,14322
2013,554,298,14620
2013,553,320,14940
2013,552,335,15275
2013,551,321,15596
2013,550,312,15908
2013,549,342,16250
2013,548,361,16611
2013,547,373,16984
2013,546,357,17341
2013,545,345,17686
2013,544,357,18043
2013,543,365,18408
2013,542,360,18768
2013,541,359,19127
2013,540,334,19461
2013,539,357,19818
2013,538,371,20189
2013,537,359,20548
2013,536,356,20904
2013,535,387,21291
2013,534,383,21674
2013,533,365,22039
2013,532,391,22430
2013,531,383,22813
2013,530,402,23215
2013,529,360,23575
2013,528,394,23969
2013,527,391,24360
2013,526,404,24764
2013,525,401,25165
2013,524,387,25552
2013,523,418,25970
2013,522,438,26408
2013,521,411,26819
2013,520,444,27263
2013,519,411,27674
2013,518,436,28110
2013,517,406,28516
2013,516,434,28950
2013,515,421,29371
2013,514,461,29832
2013,513,427,30259
2013,512,479,30738
2013,511,413,31151
2013,510,456,31607
2013,509,465,32072
2013,508,477,32549
2013,507,421,32970
2013,506,453,33423
2013,505,458,33881
2013,504,442,34323
2013,503,428,34751
2013,502,492,35243
2013,501,481,35724
2013,500,481,36205
2013,499,487,36692
2013,498,419,37111
2013,497,451,37562